goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id,Year
0,0,0,3,75.0,0,0.0,1,100.0,2,1,89.86,3,60.0,180,0,0,0,2,0,0,0,1,0,0,0,0,0,26,1,186,1,0,0.0,12,57.14,2,5,1,0,1,1,0,0.0,0,1,0.02,0,0,0,Nico Schlotterbeck,Borussia Dortmund,940871,2673,24/25
1,0,0,7,63.64,5,100.0,2,100.0,5,0,71.67,12,75.0,123,0,2,0,2,0,0,0,0,0,0,0,0,0,8,0,43,1,0,0.0,1,33.33,3,5,2,0,1,1,0,100.0,0,0,0.5,0,0,0,Alexander Bah,Benfica,850976,3006,24/25
1,0,0,4,50.0,1,100.0,1,100.0,2,0,89.91,5,55.56,152,1,1,2,2,0,0,0,0,0,0,0,0,0,23,0,98,4,2,33.33,6,100.0,1,2,1,0,3,1,1,33.33,0,0,0.13,0,0,0,Hakan Çalhanoğlu,Inter,135700,2697,24/25
0,0,0,3,21.43,0,0.0,2,25.0,1,1,82.61,3,21.43,100,0,2,2,2,0,0,0,0,0,0,0,0,0,47,1,57,7,3,30.0,1,50.0,0,0,1,0,3,1,0,0.0,1,0,0.16,0,0,0,Jérémy Doku,Manchester City,934386,17,24/25
0,0,0,0,0.0,0,0.0,0,0.0,0,0,92.59,0,0.0,90,0,0,0,1,3,3,0,0,0,0,0,1,0,1,0,25,0,0,0.0,6,75.0,0,2,0,0,0,0,0,0.0,0,0,,0,0,0,Ederson,Manchester City,254491,17,24/25
0,0,0,3,60.0,1,50.0,0,0.0,3,0,66.67,4,57.14,90,1,2,0,1,0,0,0,2,0,0,0,0,0,2,0,16,0,0,0.0,3,37.5,2,7,0,0,0,0,0,0.0,0,0,,0,0,0,Raúl Torrente,GNK Dinamo Zagreb,1134758,2032,24/25
0,1,0,10,76.92,0,0.0,4,100.0,5,0,90.18,10,71.43,180,1,2,1,2,0,0,0,1,0,0,0,0,0,18,0,101,4,3,50.0,6,75.0,6,4,0,0,0,0,0,0.0,0,0,,0,0,0,Álvaro Carreras,Benfica,1085081,3006,24/25
0,0,0,4,50.0,0,0.0,0,0.0,3,0,93.18,4,50.0,90,1,3,1,1,0,0,0,0,0,0,0,0,0,32,0,82,1,0,0.0,7,87.5,0,1,0,0,1,0,0,0.0,0,0,0.04,0,0,0,Rodri,Manchester City,827606,17,24/25
2,0,0,7,38.89,0,0.0,3,33.33,3,0,84.38,7,36.84,112,1,1,3,2,0,0,0,1,0,0,0,0,0,10,0,27,1,0,0.0,0,0.0,0,0,1,0,3,2,1,66.67,0,1,0.17,0,0,0,Jamie Gittens,Borussia Dortmund,1140599,2673,24/25
1,0,0,10,38.46,0,0.0,1,25.0,7,1,85.06,10,37.04,177,2,3,3,2,0,0,0,0,0,0,0,0,0,22,0,74,2,1,100.0,2,100.0,2,1,7,0,3,2,0,33.33,0,0,0.08,0,0,0,Youri Tielemans,Aston Villa,331737,40,24/25
1,0,0,8,61.54,1,33.33,2,66.67,5,0,95.58,9,56.25,180,1,2,0,2,0,0,0,1,2,0,0,0,0,22,0,108,3,0,0.0,3,100.0,5,2,3,0,2,1,1,50.0,0,0,0.81,0,0,0,Denis Zakaria,AS Monaco,770677,1653,24/25
1,0,0,10,55.56,1,25.0,3,50.0,3,0,87.3,11,50.0,175,4,3,2,2,0,0,0,1,0,0,0,0,0,18,1,55,1,1,50.0,5,83.33,1,1,1,0,6,3,1,16.67,0,0,0.25,0,0,0,Christos Tzolis,Club Brugge KV,1031259,2888,24/25
0,0,0,11,57.89,2,66.67,1,50.0,6,2,73.86,13,59.09,160,4,3,0,2,0,0,0,1,2,0,0,0,0,27,1,65,3,0,0.0,7,41.18,3,5,4,0,1,1,0,0.0,0,0,0.01,0,0,0,Vanderson,AS Monaco,1090694,1653,24/25
0,0,0,4,100.0,2,50.0,0,0.0,4,1,88.1,6,75.0,180,0,0,0,2,0,0,0,0,0,0,0,0,0,5,1,74,1,0,0.0,3,42.86,1,9,0,0,0,0,0,0.0,0,0,,0,0,0,Pau Torres,Aston Villa,864169,40,24/25
0,0,0,3,60.0,6,85.71,1,100.0,2,1,72.0,9,75.0,180,0,1,0,2,0,0,0,1,0,0,0,0,0,4,0,36,2,0,0.0,8,50.0,4,10,1,0,1,0,0,0.0,0,0,0.09,0,0,0,Filip Panák,Sparta Praha,580842,2218,24/25
0,0,0,0,0.0,0,0.0,0,0.0,0,0,90.14,0,0.0,180,0,0,0,2,7,5,1,1,0,2,2,1,2,0,0,64,0,0,0.0,6,50.0,1,4,0,0,0,0,0,0.0,0,0,,0,0,0,Gregor Kobel,Borussia Dortmund,556866,2673,24/25
